sample	mapping_rate
*R1.fastq.gz	
25099FL-06-01-01_S1_L001.R1.fq	
25099FL-06-01-01_S1_L001	92.0832
25099FL-06-01-02_S2_L001.R1.fq	
25099FL-06-01-02_S2_L001	88.5851
25099FL-06-01-03_S3_L001.R1.fq	
25099FL-06-01-03_S3_L001	90.0136
25099FL-06-01-04_S4_L001.R1.fq	
25099FL-06-01-04_S4_L001	83.0481
25099FL-06-01-05_S5_L001.R1.fq	
25099FL-06-01-05_S5_L001	85.3785
25099FL-06-01-06_S6_L001.R1.fq	
25099FL-06-01-06_S6_L001	91.0197
25099FL-06-01-07_S7_L001.R1.fq	
25099FL-06-01-07_S7_L001	86.5963
25099FL-06-01-08_S8_L001.R1.fq	
25099FL-06-01-08_S8_L001	82.1651
25099FL-06-01-09_S9_L001.R1.fq	
25099FL-06-01-09_S9_L001	81.415
25099FL-06-01-10_S10_L001.R1.fq	
25099FL-06-01-10_S10_L001	94.4791
25099FL-06-01-11_S11_L001.R1.fq	
25099FL-06-01-11_S11_L001	94.1813
25099FL-06-01-12_S12_L001.R1.fq	
25099FL-06-01-12_S12_L001	93.515
